substructure,organ,category,division,structure,count,sum,sum_squared,max,min,mean
MOs5,brain,grey,Isocortex,MOs,289459.0,103257110.0,9379841458.0,591.0,61.0,356.7244756597653
MOs6a,brain,grey,Isocortex,MOs,152198.0,40005547.0,4956439195.0,461.0,48.0,262.851988856621
MOs6b,brain,grey,Isocortex,MOs,4786.0,546693.0,64318373.0,231.0,61.0,114.22753865440869
MPN,brain,grey,HY,MPN,25896.0,7618924.0,833586244.0,377.0,96.0,294.21238801359283
MPO,brain,grey,HY,MPO,35645.0,10752211.0,1257760769.0,467.0,125.0,301.6471033805583
MPT,brain,grey,MB,MPT,2821.0,500154.0,77518116.0,343.0,52.0,177.2967032967033
MRN,brain,grey,MB,MRN,329045.0,27797667.0,2613180367.0,278.0,1.0,84.47983406524943
MS,brain,grey,PAL,MS,26547.0,5449613.0,655947305.0,488.0,31.0,205.28168907974535
MT,brain,grey,MB,MT,2753.0,479720.0,75708096.0,361.0,11.0,174.25354159099166
MV,brain,grey,MY,MV,116330.0,16916270.0,2600496688.0,518.0,12.0,145.41622969139516
MY-unassigned,brain,grey,MY,MY-unassigned,340254.0,13061573.0,1040068627.0,503.0,0.0,38.38771329653729
NB,brain,grey,MB,NB,5607.0,398934.0,30359902.0,145.0,29.0,71.14927768860353
ND,brain,grey,MB,PAG,5871.0,932777.0,152771603.0,318.0,34.0,158.87872594106625
NDB,brain,grey,PAL,NDB,47280.0,9199584.0,1395725028.0,428.0,8.0,194.57664974619289
NI,brain,grey,P,NI,6776.0,1256989.0,234802617.0,304.0,55.0,185.5060507674144
NLL,brain,grey,P,NLL,46328.0,4161886.0,423717786.0,254.0,24.0,89.83521844241064
NLOT1,brain,grey,OLF,NLOT,7131.0,1632837.0,267442495.0,370.0,75.0,228.97728228859907
NLOT2,brain,grey,OLF,NLOT,9563.0,2795599.0,316051257.0,395.0,136.0,292.3349367353341
NLOT3,brain,grey,OLF,NLOT,3701.0,969058.0,114796570.0,363.0,108.0,261.8368008646312
NOD,brain,grey,CB,NOD,97149.0,28638971.0,3140305943.0,858.0,12.0,294.79429536073457
NOT,brain,grey,MB,NOT,13159.0,1839238.0,275297150.0,299.0,36.0,139.77034729082757
NPC,brain,grey,MB,NPC,18484.0,2961840.0,487835884.0,295.0,55.0,160.23804371348194
NR,brain,grey,MY,NR,1943.0,404952.0,66306110.0,369.0,75.0,208.41585177560472
NTB,brain,grey,MY,NTB,9895.0,494499.0,27359387.0,133.0,14.0,49.974633653360286
NTS,brain,grey,MY,NTS,54354.0,9306912.0,1449138100.0,396.0,27.0,171.22772932994812
OLF-unassigned,brain,grey,OLF,OLF-unassigned,320150.0,72620186.0,9166644274.0,2320.0,0.0,226.83175386537562
OP,brain,grey,MB,OP,3733.0,696368.0,113162498.0,345.0,54.0,186.54379855344226
ORBl1,brain,grey,Isocortex,ORBl,24007.0,7205650.0,749552008.0,633.0,14.0,300.1478735368851
ORBl2/3,brain,grey,Isocortex,ORBl,39769.0,13815767.0,1249793013.0,572.0,75.0,347.4004123815032
ORBl5,brain,grey,Isocortex,ORBl,77287.0,27118441.0,2473698277.0,553.0,32.0,350.8797210397609
ORBl6a,brain,grey,Isocortex,ORBl,30562.0,6800366.0,1018401792.0,452.0,44.0,222.5105032393168
ORBl6b,brain,grey,Isocortex,ORBl,2906.0,471377.0,76179417.0,300.0,47.0,162.2081899518238
ORBm1,brain,grey,Isocortex,ORBm,26955.0,7418558.0,843880894.0,753.0,6.0,275.2201075867186
ORBm2/3,brain,grey,Isocortex,ORBm,20153.0,6443429.0,675357325.0,457.0,158.0,319.7255495459733
ORBm5,brain,grey,Isocortex,ORBm,30184.0,10415132.0,998009836.0,458.0,181.0,345.0547309833024
ORBm6a,brain,grey,Isocortex,ORBm,11931.0,2940374.0,386776520.0,377.0,95.0,246.44824407006956
ORBm6b,brain,grey,Isocortex,ORBm,243.0,33338.0,4730980.0,215.0,88.0,137.19341563786008
ORBvl1,brain,grey,Isocortex,ORBvl,24693.0,8063243.0,819979607.0,588.0,71.0,326.5396266148301
ORBvl2/3,brain,grey,Isocortex,ORBvl,33502.0,10605649.0,1077791531.0,465.0,119.0,316.56763775297
ORBvl5,brain,grey,Isocortex,ORBvl,39639.0,13593157.0,1330175023.0,526.0,119.0,342.92381240697296
ORBvl6a,brain,grey,Isocortex,ORBvl,15242.0,3610965.0,499926185.0,349.0,77.0,236.90887022700434
ORBvl6b,brain,grey,Isocortex,ORBvl,647.0,94767.0,14366781.0,228.0,86.0,146.47140649149924
OT,brain,grey,STR,OT,244420.0,61250532.0,8163689452.0,591.0,5.0,250.59541772359054
OV,brain,grey,HY,OV,560.0,70582.0,9264216.0,235.0,60.0,126.03928571428571
P-unassigned,brain,grey,P,P-unassigned,231346.0,12848696.0,1151926920.0,400.0,0.0,55.53887251130342
P5,brain,grey,P,P5,20516.0,2711005.0,383499187.0,270.0,29.0,132.14101189315656
PA,brain,grey,CTXsp,PA,61821.0,15956038.0,1927862998.0,476.0,68.0,258.10061306028695
PAA,brain,grey,OLF,PAA,76240.0,15812337.0,2745202873.0,387.0,45.0,207.40211175236095
PAG-unassigned,brain,grey,MB,PAG,275647.0,57929960.0,9477176932.0,453.0,9.0,210.15995095176078
PAL-unassigned,brain,grey,PAL,PAL-unassigned,72279.0,8291687.0,1182236473.0,747.0,2.0,114.7177880158829
PAR,brain,grey,HPF,PAR,59690.0,16732399.0,1799157895.0,625.0,15.0,280.32164516669457
PARN,brain,grey,MY,PARN,143835.0,12548421.0,1278703443.0,264.0,12.0,87.2417770361873
PAS,brain,grey,MY,PAS,1790.0,209888.0,26302270.0,238.0,48.0,117.25586592178772
PB-unassigned,brain,grey,P,PB,60544.0,8500796.0,1223836148.0,460.0,9.0,140.40691067653276
PBG,brain,grey,MB,PBG,2852.0,369530.0,51029378.0,278.0,51.0,129.56872370266478
PC5,brain,grey,P,PC5,4487.0,446914.0,54232926.0,345.0,10.0,99.601961221306
PCG,brain,grey,P,PCG,34776.0,6902522.0,1202389324.0,485.0,24.0,198.48521969174143
PCN,brain,grey,TH,PCN,15258.0,3790219.0,518691181.0,394.0,82.0,248.40863809149297
PD,brain,grey,HY,PD,743.0,255658.0,33819596.0,396.0,278.0,344.08882907133244
PDTg,brain,grey,P,PDTg,3062.0,710744.0,119835984.0,397.0,115.0,232.11757021554538
PERI1,brain,grey,Isocortex,PERI,14224.0,2619693.0,488224443.0,315.0,0.0,184.17414229471316
PERI2/3,brain,grey,Isocortex,PERI,21305.0,4012770.0,763656952.0,284.0,90.0,188.34874442619105
PERI5,brain,grey,Isocortex,PERI,10756.0,2603924.0,459108680.0,334.0,129.0,242.0903681666047
PERI6a,brain,grey,Isocortex,PERI,3437.0,742037.0,147941799.0,305.0,113.0,215.89671224905442
PERI6b,brain,grey,Isocortex,PERI,843.0,141857.0,24521969.0,249.0,72.0,168.27639383155397
PF,brain,grey,TH,PF,31335.0,5711003.0,1012408451.0,337.0,65.0,182.25635870432424
PFL,brain,grey,CB,PFL,366493.0,70378845.0,11612808123.0,1105.0,0.0,192.0332584796981
PG,brain,grey,P,PG,61699.0,4569336.0,403569148.0,291.0,12.0,74.05850986239648
PGRNd,brain,grey,MY,PGRNd,15277.0,1124907.0,97110331.0,238.0,16.0,73.63402500490935
PGRNl,brain,grey,MY,PGRNl,45444.0,2774054.0,205618196.0,205.0,10.0,61.043350057213274
PH,brain,grey,HY,PH,45251.0,11009834.0,1524289798.0,339.0,58.0,243.30587169344324
PIL,brain,grey,TH,PIL,11240.0,1536903.0,223840643.0,242.0,46.0,136.73514234875444
PIR,brain,grey,OLF,PIR,740202.0,198432207.0,24471187141.0,769.0,5.0,268.07845290880056
PL1,brain,grey,Isocortex,PL,33240.0,10778490.0,1129393166.0,739.0,13.0,324.26263537906135
PL2/3,brain,grey,Isocortex,PL,26811.0,8386019.0,925197311.0,469.0,91.0,312.782775726381
PL5,brain,grey,Isocortex,PL,63042.0,22405923.0,1935087565.0,690.0,70.0,355.41262967545447
PL6a,brain,grey,Isocortex,PL,29663.0,8126718.0,988603714.0,420.0,52.0,273.968175841958
PL6b,brain,grey,Isocortex,PL,1371.0,213114.0,34485664.0,243.0,88.0,155.44420131291028
PMd,brain,grey,HY,PMd,8433.0,1793857.0,283581699.0,356.0,75.0,212.71872406023954
PMv,brain,grey,HY,PMv,12528.0,2430593.0,454045637.0,295.0,100.0,194.01285121328226
PN,brain,grey,MB,PN,1406.0,178694.0,25241770.0,272.0,42.0,127.09388335704125
PO,brain,grey,TH,PO,80140.0,18527743.0,2899496649.0,470.0,28.0,231.19220114799103
POL,brain,grey,TH,POL,13149.0,1393032.0,168250844.0,228.0,31.0,105.9420488250057
POR,brain,grey,P,SOC,23362.0,1336720.0,96869884.0,203.0,10.0,57.21770396370174
POST,brain,grey,HPF,POST,69144.0,16649562.0,2182986704.0,428.0,21.0,240.7954703228046
PP,brain,grey,TH,PP,3932.0,507959.0,69338211.0,219.0,53.0,129.1859104781282
PPN,brain,grey,MB,PPN,56987.0,4457577.0,396662379.0,253.0,18.0,78.22094512783617
PPT,brain,grey,MB,PPT,9225.0,1396171.0,220012051.0,255.0,70.0,151.34644986449865
PPY,brain,grey,MY,PPY,6058.0,277930.0,14919278.0,114.0,14.0,45.87817761637504
PR,brain,grey,TH,PR,9697.0,3030871.0,338696167.0,398.0,114.0,312.5575951325152
PRC,brain,grey,MB,PAG,10968.0,1838356.0,324596362.0,349.0,15.0,167.61086797957694
PRE,brain,grey,HPF,PRE,59134.0,16731870.0,1919831344.0,488.0,17.0,282.94838840599317
PRM,brain,grey,CB,PRM,312452.0,93533247.0,10159894523.0,759.0,8.0,299.35237092417395
PRNc,brain,grey,P,PRNc,150278.0,10124963.0,747084505.0,165.0,15.0,67.37488521273906
PRNr,brain,grey,P,PRNr,151264.0,11714539.0,968352201.0,174.0,1.0,77.44432911994923
PRP,brain,grey,MY,PRP,15398.0,2115874.0,302091460.0,305.0,48.0,137.4122613326406
PS,brain,grey,HY,PS,6173.0,2353557.0,185536577.0,465.0,266.0,381.26632107565206
PST,brain,grey,HY,PST,816.0,89976.0,10847934.0,191.0,51.0,110.26470588235294
PSTN,brain,grey,HY,PSTN,10628.0,1803626.0,318435040.0,304.0,41.0,169.70511855476101
PSV,brain,grey,P,PSV,70327.0,7604750.0,974281036.0,300.0,9.0,108.13414478080965
PT,brain,grey,TH,PT,14706.0,4465424.0,470501336.0,522.0,69.0,303.64640282877735
PVH,brain,grey,HY,PVH,12076.0,2795377.0,355937661.0,393.0,53.0,231.48203047366678
PVHd,brain,grey,HY,PVHd,8369.0,2536194.0,255590520.0,413.0,65.0,303.046242083881
PVT,brain,grey,TH,PVT,28430.0,6661489.0,905764593.0,431.0,3.0,234.31195919803025
PVa,brain,grey,HY,PVa,3191.0,459912.0,70123318.0,224.0,53.0,144.12785960513946
PVi,brain,grey,HY,PVi,12826.0,1927604.0,309521868.0,331.0,29.0,150.2887883985654
PVp,brain,grey,HY,PVp,8126.0,996122.0,134031342.0,563.0,7.0,122.58454344080728
PVpo,brain,grey,HY,PVpo,9158.0,1469216.0,246284338.0,323.0,43.0,160.42978816335443
PYR,brain,grey,CB,PYR,79865.0,30254899.0,2606830891.0,687.0,36.0,378.82550554059975
Pa4,brain,grey,MB,Pa4,1025.0,88216.0,8262316.0,215.0,26.0,86.06439024390244
Pa5,brain,grey,MY,Pa5,6563.0,218082.0,11801124.0,156.0,7.0,33.22901112296206
PeF,brain,grey,HY,PeF,13728.0,3100123.0,431122007.0,416.0,72.0,225.8248106060606
PoT,brain,grey,TH,PoT,17909.0,1380463.0,116944267.0,164.0,27.0,77.08208163493215
ProS,brain,grey,HPF,ProS,83191.0,26777676.0,2710109882.0,523.0,30.0,321.881886261735
RCH,brain,grey,HY,RCH,9449.0,1342552.0,209186234.0,257.0,19.0,142.0840300560906
RE,brain,grey,TH,RE,27167.0,8614865.0,877458265.0,437.0,121.0,317.10770419994844
RH,brain,grey,TH,RH,5829.0,1657437.0,190920529.0,398.0,139.0,284.34328358208955
RL,brain,grey,MB,RL,3546.0,215383.0,18445395.0,198.0,14.0,60.73970671178793
RM,brain,grey,MY,RM,7657.0,657180.0,63343526.0,183.0,20.0,85.8273475251404
RN,brain,grey,MB,RN,50443.0,4298049.0,400860503.0,241.0,21.0,85.2060543583847
RO,brain,grey,MY,RO,2455.0,122063.0,7083799.0,146.0,14.0,49.720162932790224
RPA,brain,grey,MY,RPA,4336.0,109509.0,4280775.0,123.0,2.0,25.255765682656826
RPF,brain,grey,MB,RPF,3993.0,668880.0,117192006.0,280.0,50.0,167.51314800901577
RPO,brain,grey,P,RPO,6164.0,277713.0,14508495.0,154.0,11.0,45.0540233614536
RR,brain,grey,MB,RR,8846.0,944634.0,107828588.0,212.0,37.0,106.7865702012209
RSPagl1,brain,grey,Isocortex,RSPagl,32392.0,8519881.0,1005443547.0,446.0,6.0,263.024234378859
RSPagl2/3,brain,grey,Isocortex,RSPagl,42857.0,11722128.0,1336005744.0,460.0,116.0,273.5172317241057
RSPagl5,brain,grey,Isocortex,RSPagl,46896.0,15006365.0,1591448847.0,549.0,127.0,319.9924300580007
RSPagl6a,brain,grey,Isocortex,RSPagl,26287.0,6768013.0,976139897.0,416.0,91.0,257.46616198120745
RSPagl6b,brain,grey,Isocortex,RSPagl,2311.0,312715.0,44180933.0,223.0,69.0,135.3158805711813
RSPd1,brain,grey,Isocortex,RSPd,52969.0,12868220.0,1786294930.0,502.0,7.0,242.9386999943363
RSPd2/3,brain,grey,Isocortex,RSPd,62330.0,18058038.0,2076751458.0,453.0,6.0,289.71663725332905
RSPd5,brain,grey,Isocortex,RSPd,77137.0,23570558.0,2394356530.0,464.0,3.0,305.5674708635285
RSPd6a,brain,grey,Isocortex,RSPd,48445.0,11367456.0,1765106890.0,410.0,29.0,234.64663019919496
RSPd6b,brain,grey,Isocortex,RSPd,2047.0,254355.0,32429491.0,203.0,76.0,124.25744992672203
RSPv1,brain,grey,Isocortex,RSPv,60568.0,15297102.0,2031947618.0,525.0,3.0,252.56079117685906
RSPv2/3,brain,grey,Isocortex,RSPv,65218.0,19151035.0,2040514241.0,526.0,13.0,293.6464626330154
RSPv5,brain,grey,Isocortex,RSPv,107310.0,38646174.0,3548091368.0,927.0,7.0,360.1358121330724
RSPv6a,brain,grey,Isocortex,RSPv,42175.0,11093709.0,1396715829.0,417.0,61.0,263.0399288678127
RSPv6b,brain,grey,Isocortex,RSPv,3121.0,522923.0,90405663.0,249.0,65.0,167.54982377443127
RT,brain,grey,TH,RT,92624.0,14386450.0,2126088224.0,510.0,22.0,155.3209751252375
SAG,brain,grey,MB,SAG,6286.0,1147649.0,211544561.0,305.0,77.0,182.57222398981864
SBPV,brain,grey,HY,SBPV,7008.0,1618187.0,249149303.0,327.0,89.0,230.9056792237443
SCH,brain,grey,HY,SCH,4229.0,651989.0,107762567.0,285.0,29.0,154.1709624024592
SCO,brain,grey,MB,SCO,905.0,73645.0,7257609.0,167.0,9.0,81.37569060773481
SCdg,brain,grey,MB,SCm,76483.0,17187876.0,2262750220.0,418.0,27.0,224.7280572153289
SCdw,brain,grey,MB,SCm,21283.0,4031594.0,706658606.0,341.0,34.0,189.42790020203918
SCig,brain,grey,MB,SCm,130357.0,28517297.0,4478881067.0,405.0,31.0,218.7630660417162
SCiw,brain,grey,MB,SCm,133937.0,33061047.0,4376513453.0,459.0,48.0,246.84028311818244
SCop,brain,grey,MB,SCs,41155.0,6393102.0,987648484.0,345.0,11.0,155.34204835378446
SCsg,brain,grey,MB,SCs,73727.0,20839384.0,2310629698.0,451.0,65.0,282.6560690113527
SCzo,brain,grey,MB,SCs,23252.0,5409643.0,734913581.0,439.0,28.0,232.65280405986582
SEZ,brain,VS,VL,SEZ,8738.0,1033431.0,136070311.0,400.0,7.0,118.2685969329366
SF,brain,grey,STR,SF,30348.0,2495619.0,252417321.0,313.0,12.0,82.23339264531435
SFO,brain,grey,HY,SFO,1382.0,149353.0,18678051.0,338.0,19.0,108.07018813314038
SG,brain,grey,P,SG,1111.0,203437.0,37980845.0,247.0,86.0,183.11161116111612
SGN,brain,grey,TH,SGN,11633.0,1552117.0,225133813.0,250.0,26.0,133.42362245336543
SH,brain,grey,STR,SH,2380.0,596035.0,79246367.0,401.0,69.0,250.43487394957984
SI,brain,grey,PAL,SI,193782.0,43112005.0,6299087737.0,575.0,26.0,222.47682963329927
SIM,brain,grey,CB,SIM,364470.0,120604158.0,12093788190.0,1093.0,10.0,330.9028397398963
SLC,brain,grey,P,SLC,1694.0,225848.0,32407616.0,343.0,46.0,133.32231404958677
SLD,brain,grey,P,SLD,3015.0,550263.0,102282869.0,314.0,51.0,182.5084577114428
SMT,brain,grey,TH,SMT,19682.0,5769727.0,661701089.0,476.0,49.0,293.1473935575653
SNc,brain,grey,MB,SNc,12629.0,2472593.0,383536375.0,430.0,57.0,195.78691899596168
SNr,brain,grey,MB,SNr,99080.0,20891819.0,2806366943.0,494.0,22.0,210.85808437626162
SO,brain,grey,HY,SO,2998.0,495582.0,78568272.0,339.0,15.0,165.30420280186792
SOCl,brain,grey,P,SOC,21655.0,2008476.0,221543788.0,284.0,16.0,92.74883398753175
SOCm,brain,grey,P,SOC,12516.0,989952.0,83779572.0,184.0,30.0,79.09491850431448
SPA,brain,grey,TH,SPA,8454.0,2108975.0,305241345.0,358.0,55.0,249.4647504140052
SPFm,brain,grey,TH,SPFm,4449.0,991026.0,184605002.0,336.0,79.0,222.7525286581254
SPFp,brain,grey,TH,SPFp,8597.0,923141.0,105703949.0,205.0,39.0,107.37943468651855
SPIV,brain,grey,MY,SPIV,47927.0,4196644.0,412238852.0,393.0,13.0,87.56325244642895
SPVC,brain,grey,MY,SPVC,107628.0,13032242.0,1757100216.0,319.0,0.0,121.08598134314491
SPVI,brain,grey,MY,SPVI,118142.0,12357805.0,1516378803.0,348.0,7.0,104.60128489444905
SPVO,brain,grey,MY,SPVO,63978.0,6520335.0,797610695.0,333.0,13.0,101.91526774828847
SSp-bfd1,brain,grey,Isocortex,SSp-bfd,53686.0,13843312.0,1695893264.0,458.0,20.0,257.85702045225946
SSp-bfd2/3,brain,grey,Isocortex,SSp-bfd,97044.0,34517314.0,3144693924.0,561.0,135.0,355.6872552656527
SSp-bfd4,brain,grey,Isocortex,SSp-bfd,82089.0,34629914.0,2669369856.0,659.0,90.0,421.8581539548539
SSp-bfd5,brain,grey,Isocortex,SSp-bfd,77323.0,31874066.0,2609414190.0,676.0,152.0,412.2197276360203
SSp-bfd6a,brain,grey,Isocortex,SSp-bfd,83045.0,26450012.0,2786818846.0,636.0,96.0,318.50216147871635
SSp-bfd6b,brain,grey,Isocortex,SSp-bfd,9389.0,1499031.0,248468371.0,296.0,52.0,159.65821706251998
SSp-ll1,brain,grey,Isocortex,SSp-ll,19151.0,5717565.0,582571953.0,508.0,8.0,298.55177275338104
SSp-ll2/3,brain,grey,Isocortex,SSp-ll,41382.0,14646467.0,1308002153.0,482.0,96.0,353.93328017012226
SSp-ll4,brain,grey,Isocortex,SSp-ll,17474.0,7157190.0,592844476.0,631.0,277.0,409.5908206478196
SSp-ll5,brain,grey,Isocortex,SSp-ll,35564.0,14597343.0,1224777217.0,725.0,200.0,410.45278933753235
SSp-ll6a,brain,grey,Isocortex,SSp-ll,33771.0,10769675.0,1136746803.0,460.0,106.0,318.9030529152231
SSp-ll6b,brain,grey,Isocortex,SSp-ll,3223.0,502069.0,80637143.0,261.0,63.0,155.77691591684766
SSp-m1,brain,grey,Isocortex,SSp-m,50090.0,11403488.0,1647989570.0,392.0,0.0,227.65997205030945
SSp-m2/3,brain,grey,Isocortex,SSp-m,95921.0,33834043.0,3068138461.0,556.0,79.0,352.72821384264137
SSp-m4,brain,grey,Isocortex,SSp-m,60615.0,25603560.0,1994332586.0,612.0,113.0,422.39643652561244
SSp-m5,brain,grey,Isocortex,SSp-m,77950.0,31325413.0,2501504291.0,606.0,114.0,401.86546504169337
SSp-m6a,brain,grey,Isocortex,SSp-m,105706.0,29298664.0,3520121104.0,513.0,81.0,277.17124855731936
SSp-m6b,brain,grey,Isocortex,SSp-m,7339.0,1039038.0,151801750.0,246.0,78.0,141.5775991279466
SSp-n1,brain,grey,Isocortex,SSp-n,25941.0,6211170.0,890489196.0,409.0,10.0,239.434485948884
SSp-n2/3,brain,grey,Isocortex,SSp-n,40982.0,14851946.0,1321589604.0,518.0,171.0,362.401688546191
SSp-n4,brain,grey,Isocortex,SSp-n,35076.0,14914099.0,1189815989.0,670.0,142.0,425.1938362413046
SSp-n5,brain,grey,Isocortex,SSp-n,36290.0,15388226.0,1229679136.0,639.0,159.0,424.03488564342797
SSp-n6a,brain,grey,Isocortex,SSp-n,51512.0,15387466.0,1656337186.0,581.0,74.0,298.7161438111508
SSp-n6b,brain,grey,Isocortex,SSp-n,3432.0,367320.0,40593854.0,194.0,57.0,107.02797202797203
SSp-tr1,brain,grey,Isocortex,SSp-tr,13081.0,4065638.0,407867914.0,470.0,14.0,310.80483143490557
SSp-tr2/3,brain,grey,Isocortex,SSp-tr,27121.0,9331421.0,838024061.0,469.0,203.0,344.0662586187825
SSp-tr4,brain,grey,Isocortex,SSp-tr,9766.0,3878430.0,313363662.0,488.0,268.0,397.135981978292
SSp-tr5,brain,grey,Isocortex,SSp-tr,22607.0,8922311.0,659351723.0,537.0,228.0,394.6702791170876
SSp-tr6a,brain,grey,Isocortex,SSp-tr,14877.0,4947638.0,482504846.0,518.0,141.0,332.56960408684546
SSp-tr6b,brain,grey,Isocortex,SSp-tr,2195.0,424252.0,79472602.0,289.0,91.0,193.28109339407746
SSp-ul1,brain,grey,Isocortex,SSp-ul,29562.0,8237296.0,894692816.0,490.0,11.0,278.64474663419253
SSp-ul2/3,brain,grey,Isocortex,SSp-ul,62626.0,22986777.0,2042149177.0,565.0,77.0,367.04846230000317
SSp-ul4,brain,grey,Isocortex,SSp-ul,33490.0,14371574.0,1093676564.0,595.0,120.0,429.13030755449387
SSp-ul5,brain,grey,Isocortex,SSp-ul,50676.0,20915661.0,1662420637.0,659.0,129.0,412.733068908359
SSp-ul6a,brain,grey,Isocortex,SSp-ul,60229.0,17944244.0,2008218648.0,580.0,55.0,297.9336200169354
SSp-ul6b,brain,grey,Isocortex,SSp-ul,4753.0,604813.0,82010565.0,285.0,53.0,127.24868504102672
SSp-un1,brain,grey,Isocortex,SSp-un,10635.0,2969670.0,292598880.0,452.0,30.0,279.2355430183357
SSp-un2/3,brain,grey,Isocortex,SSp-un,21205.0,7719746.0,686531530.0,508.0,147.0,364.053100683801
SSp-un4,brain,grey,Isocortex,SSp-un,12030.0,4962161.0,392797553.0,589.0,159.0,412.4822111388196
SSp-un5,brain,grey,Isocortex,SSp-un,16508.0,6677599.0,529008811.0,598.0,137.0,404.5068451659801
SSp-un6a,brain,grey,Isocortex,SSp-un,18840.0,5685834.0,620602048.0,568.0,76.0,301.79585987261146
SSp-un6b,brain,grey,Isocortex,SSp-un,1576.0,206728.0,29749832.0,262.0,61.0,131.17258883248732
SSs1,brain,grey,Isocortex,SSs,79837.0,16823230.0,2960191818.0,1154.0,3.0,210.71971642221024
SSs2/3,brain,grey,Isocortex,SSs,137269.0,42499979.0,4599891781.0,484.0,71.0,309.610902680139
SSs4,brain,grey,Isocortex,SSs,74614.0,27945972.0,2519948802.0,576.0,153.0,374.5405955986812
SSs5,brain,grey,Isocortex,SSs,139873.0,50672494.0,4666183364.0,653.0,64.0,362.27502091182714
SSs6a,brain,grey,Isocortex,SSs,132739.0,34068881.0,4246811117.0,528.0,66.0,256.6606724474344
SSs6b,brain,grey,Isocortex,SSs,13156.0,2087107.0,341628671.0,281.0,66.0,158.64297658862876
STN,brain,grey,HY,STN,12463.0,2348731.0,398181113.0,471.0,37.0,188.45631067961165
STR-unassigned,brain,grey,STR,STR-unassigned,171564.0,39435982.0,5397956954.0,552.0,2.0,229.86163763959806
SUB,brain,grey,HPF,SUB,134607.0,37150256.0,4307715104.0,507.0,4.0,275.990520552423
SUM,brain,grey,HY,SUM,16305.0,2892984.0,443445148.0,363.0,22.0,177.4292548298068
SUT,brain,grey,P,SUT,16640.0,2262786.0,325807334.0,275.0,54.0,135.98473557692307
SUV,brain,grey,MY,SUV,22659.0,2067150.0,205852066.0,461.0,24.0,91.22865086720509
Su3,brain,grey,MB,PAG,2686.0,510553.0,98230243.0,244.0,103.0,190.07930007446015
SubG,brain,grey,TH,SubG,1725.0,305483.0,51491543.0,327.0,71.0,177.09159420289856
TEa1,brain,grey,Isocortex,TEa,34006.0,6535628.0,1242759916.0,346.0,5.0,192.1904369817091
TEa2/3,brain,grey,Isocortex,TEa,44795.0,9096361.0,1608203863.0,360.0,79.0,203.06643598615918
TEa4,brain,grey,Isocortex,TEa,19976.0,5316944.0,654404558.0,389.0,78.0,266.1665999199039
TEa5,brain,grey,Isocortex,TEa,60878.0,16794076.0,1734560544.0,405.0,156.0,275.8644502118992
TEa6a,brain,grey,Isocortex,TEa,33590.0,7722289.0,1387011939.0,377.0,125.0,229.89845192021434
TEa6b,brain,grey,Isocortex,TEa,5556.0,950937.0,166827167.0,251.0,45.0,171.1549676025918
TH-unassigned,brain,grey,TH,TH-unassigned,58834.0,9746400.0,1237984546.0,462.0,14.0,165.65931264234968
TMd,brain,grey,HY,TMd,2243.0,310814.0,46854922.0,270.0,49.0,138.5706642888988
TMv,brain,grey,HY,TMv,6931.0,1109218.0,184016668.0,271.0,14.0,160.03722406579138
TR,brain,grey,OLF,TR,89508.0,20801202.0,3104342692.0,359.0,38.0,232.3948920766859
TRN,brain,grey,P,TRN,44144.0,3158272.0,275040188.0,218.0,15.0,71.54476259514317
TRS,brain,grey,PAL,TRS,22804.0,2669726.0,335990096.0,412.0,12.0,117.0727065427118
TTd,brain,grey,OLF,TT,46375.0,12698636.0,1523275560.0,526.0,4.0,273.82503504043126
TTv,brain,grey,OLF,TT,46049.0,11610603.0,1645969909.0,1028.0,15.0,252.13583356859
TU,brain,grey,HY,TU,33500.0,4956167.0,762758543.0,278.0,6.0,147.94528358208956
UVU,brain,grey,CB,UVU,140247.0,45348943.0,4531868523.0,679.0,4.0,323.35053869244973
V,brain,grey,P,V,22692.0,3211511.0,476973207.0,376.0,16.0,141.5261325577296
V3-unassigned,brain,VS,V3,V3-unassigned,57603.0,3504636.0,381704264.0,409.0,0.0,60.841206187177754
V4-unassigned,brain,VS,V4,V4-unassigned,32104.0,2135364.0,239826950.0,439.0,0.0,66.51395464739596
V4r,brain,VS,V4,V4r,29653.0,2328693.0,248715585.0,634.0,1.0,78.53144707112266
VAL,brain,grey,TH,VAL,52314.0,13010535.0,1712697109.0,460.0,42.0,248.70082578277325
VCO,brain,grey,MY,VCO,65124.0,6237610.0,733425208.0,442.0,9.0,95.78051102512131
VI,brain,grey,MY,VI,1949.0,206142.0,25758810.0,300.0,19.0,105.76808619805028
VII,brain,grey,MY,VII,58708.0,7109075.0,963394867.0,353.0,11.0,121.09209988417251
VIIn-unassigned,brain,fiber tracts,cm,VIIn,5058.0,119137.0,3224623.0,81.0,7.0,23.554171609331753
VISC1,brain,grey,Isocortex,VISC,21663.0,4114960.0,762320832.0,385.0,5.0,189.95337672529197
VISC2/3,brain,grey,Isocortex,VISC,34556.0,8683630.0,1134002342.0,405.0,43.0,251.291526797083
VISC4,brain,grey,Isocortex,VISC,11677.0,3790902.0,392585978.0,423.0,221.0,324.6469127344352
VISC5,brain,grey,Isocortex,VISC,45196.0,13741344.0,1338100126.0,421.0,75.0,304.0389414992477
VISC6a,brain,grey,Isocortex,VISC,34317.0,7907883.0,1256775021.0,399.0,21.0,230.43631436314362
VISC6b,brain,grey,Isocortex,VISC,3210.0,542365.0,94148793.0,273.0,31.0,168.96105919003116
