structure,organ,category,division,count,sum,sum_squared,max,min,mean
TU,brain,grey,HY,33500.0,5460416.0,929102152.0,302.0,5.0,162.99749253731343
UVU,brain,grey,CB,140247.0,42188323.0,4627640833.0,795.0,4.0,300.8144416636363
V,brain,grey,P,22692.0,2814436.0,390916248.0,323.0,12.0,124.02767495152477
V3-unassigned,brain,VS,V3,57603.0,3665056.0,405318538.0,494.0,0.0,63.62613058347655
V4-unassigned,brain,VS,V4,32104.0,1970987.0,217615445.0,474.0,0.0,61.39381385497134
V4r,brain,VS,V4,29653.0,1949013.0,190597835.0,485.0,1.0,65.72734630560146
VAL,brain,grey,TH,52314.0,11016386.0,1756719480.0,379.0,31.0,210.5819857017242
VCO,brain,grey,MY,65124.0,5704030.0,620045518.0,417.0,8.0,87.58721822983846
VI,brain,grey,MY,1949.0,176680.0,19323894.0,259.0,13.0,90.6516162134428
VII,brain,grey,MY,58708.0,6633732.0,879434126.0,322.0,9.0,112.99536690059277
VIIIn,brain,fiber tracts,cm,109145.0,4551756.0,333358554.0,405.0,1.0,41.70375188968803
VIIn,brain,fiber tracts,cm,6903.0,132450.0,3104596.0,98.0,5.0,19.187309865275967
VISC,brain,grey,Isocortex,150619.0,42899420.0,5139690384.0,2339.0,3.0,284.8207729436525
VISa,brain,grey,Isocortex,92031.0,35458020.0,3028437610.0,3367.0,13.0,385.28343710271537
VISal,brain,grey,Isocortex,48435.0,16093626.0,1585146056.0,3270.0,37.0,332.27265407246824
VISam,brain,grey,Isocortex,50601.0,18298374.0,1662013654.0,2331.0,15.0,361.62079800794453
VISl,brain,grey,Isocortex,78459.0,25641215.0,2631672807.0,2776.0,20.0,326.8103722963586
VISli,brain,grey,Isocortex,31525.0,9555531.0,1077542855.0,1060.0,26.0,303.10962727993655
VISp,brain,grey,Isocortex,452664.0,168783566.0,14722073516.0,5228.0,9.0,372.8672171853737
VISpl,brain,grey,Isocortex,50745.0,14855972.0,1691540284.0,2618.0,21.0,292.75735540447334
VISpm,brain,grey,Isocortex,66859.0,23838690.0,2192922210.0,2181.0,23.0,356.5516983502595
VISpor,brain,grey,Isocortex,82095.0,22305020.0,2717324710.0,2070.0,24.0,271.6976673366222
VISrl,brain,grey,Isocortex,65025.0,25241518.0,2095909700.0,3923.0,37.0,388.18174548250676
VL-unassigned,brain,VS,VL,137710.0,7251781.0,764914363.0,853.0,0.0,52.659799578825066
VLPO,brain,grey,HY,4291.0,686235.0,115824557.0,281.0,20.0,159.9242600792356
VM,brain,grey,TH,59299.0,10280200.0,1511308110.0,720.0,21.0,173.3621140322771
VMH,brain,grey,HY,35169.0,7505790.0,1320626768.0,611.0,83.0,213.42062611959395
VMPO,brain,grey,HY,3210.0,502701.0,82635223.0,250.0,29.0,156.60467289719625
VPL,brain,grey,TH,56111.0,7668005.0,1145197691.0,521.0,20.0,136.65778546096132
VPLpc,brain,grey,TH,6326.0,992751.0,166604279.0,333.0,31.0,156.9318684792918
VPM,brain,grey,TH,105262.0,18894388.0,3178795084.0,630.0,33.0,179.49866048526533
VPMpc,brain,grey,TH,13716.0,3384648.0,496219606.0,495.0,90.0,246.76640419947506
VTA,brain,grey,MB,27365.0,3760139.0,582607867.0,347.0,20.0,137.40687008953043
VTN,brain,grey,MB,2418.0,323240.0,48833272.0,264.0,9.0,133.68072787427627
VeCB,brain,grey,CB,5451.0,248039.0,12990805.0,155.0,20.0,45.50339387268391
Vn,brain,fiber tracts,cm,152592.0,1015718.0,10621426.0,91.0,0.0,6.656430219146482
XII,brain,grey,MY,18007.0,3639802.0,648349582.0,369.0,87.0,202.13261509413007
Xi,brain,grey,TH,5588.0,2324583.0,186636817.0,1140.0,122.0,415.99552612741587
Xn,brain,fiber tracts,cm,599.0,60205.0,6483237.0,184.0,45.0,100.50918196994992
ZI,brain,grey,HY,115245.0,18813262.0,2517947908.0,571.0,22.0,163.2457980823463
arb,brain,fiber tracts,cbf,442961.0,31884014.0,3730933368.0,428.0,5.0,71.97928034296473
brain-unassigned,brain,brain-unassigned,brain-unassigned,227696.0,11986475.0,1149550449.0,667.0,0.0,52.64244870353454
c,brain,VS,c,31.0,4279.0,622471.0,173.0,62.0,138.03225806451613
cbc,brain,fiber tracts,cbf,4378.0,76236.0,2437936.0,141.0,6.0,17.413430790315214
cbp,brain,fiber tracts,cbf,181193.0,2579330.0,60482214.0,205.0,1.0,14.23526295165928
cc,brain,fiber tracts,lfbs,543709.0,45161411.0,4541570487.0,1902.0,5.0,83.0617315512526
chpl,brain,VS,VL,92456.0,3141259.0,189276253.0,427.0,0.0,33.97571817945834
cst,brain,fiber tracts,lfbs,254303.0,7399892.0,369606680.0,537.0,1.0,29.098720817292758
drt,brain,fiber tracts,cm,41152.0,1297867.0,51422723.0,121.0,6.0,31.538369945567652
epsc,brain,fiber tracts,eps,7192.0,711163.0,86397147.0,285.0,15.0,98.88250834260289
fiber tracts-unassigned,brain,fiber tracts,fiber tracts-unassigned,99413.0,5773916.0,524138936.0,685.0,0.0,58.08009012905757
lfbst,brain,fiber tracts,lfbs,28596.0,2266978.0,235339670.0,711.0,8.0,79.2760525947685
mfbc,brain,fiber tracts,mfbs,400783.0,39500279.0,4815097527.0,2155.0,2.0,98.55777066392537
mfsbshy,brain,fiber tracts,mfbs,51933.0,4814600.0,553329556.0,444.0,1.0,92.70791211753605
rust,brain,fiber tracts,eps,38802.0,898803.0,30842533.0,147.0,4.0,23.16383176124942
scwm-unassigned,brain,fiber tracts,scwm,125428.0,12733857.0,1490224835.0,1944.0,19.0,101.52324042478554
tsp,brain,fiber tracts,eps,32626.0,999852.0,37265460.0,106.0,1.0,30.645865260834917
von,brain,fiber tracts,cm,862.0,64615.0,7031433.0,391.0,6.0,74.95939675174014
x,brain,grey,MY,3646.0,326006.0,34245440.0,241.0,20.0,89.41470104223806
y,brain,grey,MY,1501.0,238854.0,34316596.0,491.0,45.0,159.12991339107262
